x,y,RSSIA,RSSIB,RSSIC,RP
2.77,0.64,46,44,60,B3
2.77,0.64,54,44,60,B3
0.55,1.9,42,53,56,A2
2.77,1.9,44,55,48,B4
3.88,3.17,57,52,52,C4
0.55,1.9,53,57,40,A2
1.66,3.17,39,59,56,B2
0.55,1.9,40,55,55,A2
0.55,1.9,38,53,55,A2
3.88,3.17,57,54,50,C4
3.88,3.17,56,54,52,C4
0.55,0.64,51,43,64,A1
0.55,0.64,53,57,57,A1
3.88,3.17,57,52,51,C4
3.88,3.17,56,53,52,C4
3.88,3.17,53,55,52,C4
1.66,3.17,38,61,40,B2
3.88,3.17,56,57,51,C4
1.66,3.17,42,44,35,B2
0.55,0.64,49,42,65,A1
3.88,1.9,43,49,53,C3
2.77,1.9,49,49,55,B4
0.55,0.64,50,46,64,A1
3.88,3.17,58,59,52,C4
0.55,0.64,51,41,61,A1
2.77,0.64,50,47,65,B3
0.55,1.9,45,55,57,A2
3.88,3.17,54,57,51,C4
2.77,3.17,48,50,63,C1
0.55,0.64,51,42,65,A1
3.88,3.17,56,57,50,C4
0.55,1.9,43,57,66,A2
3.88,3.17,56,55,51,C4
0.55,0.64,52,46,64,A1
2.77,1.9,52,51,62,B4
2.77,0.64,53,43,59,B3
0.55,1.9,45,56,57,A2
3.88,3.17,55,55,50,C4
2.77,0.64,55,43,63,B3
1.66,0.64,52,42,61,A4
3.88,1.9,50,49,51,C3
1.66,0.64,51,43,61,A4
2.77,3.17,42,51,64,C1
3.88,1.9,47,45,51,C3
3.88,1.9,44,49,50,C3
0.55,1.9,42,55,54,A2
3.88,3.17,59,59,51,C4
3.88,0.64,52,40,61,C2
2.77,3.17,49,54,66,C1
1.66,0.64,46,44,47,A4
3.88,1.9,43,49,50,C3
2.77,3.17,40,50,64,C1
3.88,3.17,52,55,51,C4
0.55,1.9,46,54,44,A2
1.66,3.17,38,52,39,B2
2.77,0.64,42,45,57,B3
1.66,1.9,49,50,50,B1
3.88,0.64,40,46,54,C2
0.55,0.64,51,43,65,A1
0.55,1.9,40,56,65,A2
1.66,3.17,39,65,38,B2
0.55,0.64,43,48,57,A1
3.88,1.9,44,57,51,C3
0.55,0.64,47,45,50,A1
