x,y,RSSI A,RSSI B,RSSI C,RP
0.65,1.63,42,31,50,B2
1.97,2.56,23,38,35,C3
3.27,1.63,34,33,46,D2
0.65,0.78,38,32,48,B1
3.27,2.56,31,52,50,D3
3.27,0.78,25,37,55,D1
-0.61,1.63,28,48,51,A2
-0.61,2.56,24,44,46,A3
3.27,3.42,29,50,39,D4
-0.61,1.63,48,31,47,A2
0.65,3.42,31,30,56,B4
0.65,0.78,35,35,44,B1
-0.61,1.63,37,37,53,A2
1.97,2.56,52,37,40,C3
-0.61,0.78,32,32,50,A1
1.97,1.63,35,36,45,C2
1.97,0.78,22,39,48,C1
3.27,1.63,39,39,52,D2
3.27,1.63,29,38,56,D2
1.97,2.56,27,43,42,C3
3.27,2.56,35,42,31,D3
-0.61,2.56,31,33,46,A3
1.97,3.42,47,36,60,C4
1.97,0.78,28,29,52,C1
3.27,3.42,32,30,52,D4
1.97,0.78,47,38,26,C1
-0.61,0.78,37,37,55,A1
0.65,1.63,32,48,50,B2
1.97,1.63,41,40,43,C2
-0.61,0.78,30,43,53,A1
0.65,0.78,35,37,44,B1
-0.61,2.56,28,37,57,A3
1.97,1.63,33,59,51,C2
-0.61,0.78,37,31,48,A1
1.97,1.63,33,36,43,C2
0.65,2.56,25,35,54,B3
-0.61,1.63,49,34,52,A2
3.27,3.42,26,30,45,D4
-0.61,3.42,42,36,59,A4
-0.61,1.63,41,31,57,A2
1.97,3.42,42,35,45,C4
-0.61,2.56,27,36,54,A3
0.65,3.42,43,63,54,B4
-0.61,0.78,32,37,48,A1
0.65,1.63,33,47,51,B2
0.65,2.56,32,34,56,B3
3.27,2.56,39,32,57,D3
1.97,2.56,28,37,57,C3
1.97,2.56,46,35,26,C3
3.27,3.42,36,40,53,D4
1.97,3.42,25,31,59,C4
0.65,2.56,46,34,42,B3
3.27,1.63,34,33,45,D2
1.97,2.56,43,39,29,C3
0.65,2.56,38,42,34,B3
1.97,2.56,45,41,45,C3
1.97,3.42,33,35,47,C4
3.27,3.42,32,37,39,D4
