x,y,RSSIA,RSSIB,RSSIC,RP
1.66,3.17,40,55,39,B2
0.55,0.64,55,44,65,A1
2.77,3.17,46,52,55,C1
1.66,3.17,41,58,43,B2
2.77,1.9,49,52,56,B4
0.55,1.9,45,53,43,A2
3.88,3.17,57,62,50,C4
0.55,1.9,44,54,57,A2
3.88,3.17,56,59,51,C4
3.88,3.17,45,54,51,C4
2.77,3.17,47,50,60,C1
3.88,3.17,57,55,51,C4
2.77,3.17,43,51,65,C1
3.88,1.9,46,59,50,C3
2.77,3.17,55,57,59,C1
3.88,3.17,57,50,51,C4
0.55,0.64,44,44,64,A1
3.88,3.17,46,51,52,C4
1.66,0.64,43,46,48,A4
3.88,1.9,43,48,50,C3
0.55,0.64,43,49,65,A1
0.55,0.64,51,46,43,A1
1.66,3.17,39,61,35,B2
3.88,1.9,42,46,50,C3
1.66,0.64,50,44,54,A4
2.77,0.64,50,46,65,B3
0.55,0.64,51,41,60,A1
0.55,0.64,48,53,63,A1
3.88,0.64,51,46,50,C2
1.66,3.17,38,61,45,B2
0.55,0.64,50,44,57,A1
2.77,1.9,49,50,55,B4
2.77,0.64,53,44,62,B3
0.55,1.9,41,55,54,A2
1.66,3.17,43,51,47,B2
2.77,3.17,45,56,62,C1
3.88,3.17,54,59,51,C4
3.88,0.64,55,43,66,C2
1.66,1.9,45,53,56,B1
0.55,0.64,57,44,64,A1
2.77,1.9,39,49,56,B4
3.88,3.17,57,56,51,C4
2.77,3.17,47,50,62,C1
2.77,0.64,51,46,64,B3
0.55,0.64,47,44,56,A1
2.77,1.9,50,50,63,B4
3.88,3.17,54,57,50,C4
0.55,1.9,46,57,41,A2
1.66,1.9,43,50,57,B1
2.77,0.64,53,44,58,B3
0.55,0.64,44,43,62,A1
0.55,1.9,46,55,55,A2
3.88,3.17,54,57,50,C4
3.88,0.64,55,45,64,C2
2.77,0.64,49,42,61,B3
2.77,3.17,47,50,54,C1
0.55,0.64,44,43,66,A1
1.66,3.17,39,53,39,B2
3.88,1.9,52,55,57,C3
2.77,3.17,42,50,63,C1
2.77,3.17,51,54,61,C1
2.77,3.17,48,64,55,C1
2.77,0.64,54,42,64,B3
2.77,3.17,48,48,65,C1
0.55,0.64,54,46,63,A1
3.88,3.17,57,53,51,C4
3.88,3.17,55,60,52,C4
0.55,0.64,54,43,55,A1
0.55,0.64,45,45,61,A1
2.77,3.17,48,59,56,C1
0.55,0.64,54,43,60,A1
2.77,0.64,50,43,59,B3
3.88,1.9,39,49,50,C3
3.88,1.9,43,47,50,C3
0.55,0.64,49,42,61,A1
0.55,1.9,53,55,56,A2
2.77,0.64,47,42,59,B3
2.77,3.17,51,50,66,C1
2.77,0.64,49,45,62,B3
3.88,1.9,46,47,50,C3
0.55,0.64,51,46,62,A1
3.88,3.17,44,54,52,C4
1.66,1.9,44,56,55,B1
0.55,1.9,40,55,58,A2
3.88,3.17,55,58,52,C4
0.55,1.9,40,52,55,A2
3.88,3.17,55,61,51,C4
3.88,1.9,40,47,55,C3
3.88,3.17,55,56,51,C4
2.77,3.17,41,52,64,C1
2.77,3.17,49,51,63,C1
3.88,3.17,55,57,51,C4
2.77,3.17,52,50,62,C1
0.55,0.64,43,44,65,A1
3.88,0.64,47,45,65,C2
0.55,0.64,46,40,61,A1
2.77,0.64,41,49,55,B3
3.88,3.17,50,55,51,C4
2.77,1.9,44,55,46,B4
1.66,3.17,39,59,45,B2
3.88,0.64,44,43,60,C2
3.88,1.9,50,46,51,C3
0.55,0.64,51,47,66,A1
0.55,0.64,40,57,45,A1
2.77,3.17,47,52,58,C1
1.66,3.17,43,61,40,B2
2.77,0.64,53,50,61,B3
2.77,0.64,54,44,60,B3
0.55,0.64,48,46,56,A1
0.55,0.64,48,42,62,A1
3.88,1.9,43,46,35,C3
0.55,0.64,55,44,64,A1
0.55,0.64,53,43,64,A1
3.88,1.9,41,46,51,C3
0.55,1.9,44,53,59,A2
3.88,3.17,43,55,52,C4
0.55,0.64,57,55,62,A1
3.88,1.9,42,54,51,C3
0.55,0.64,48,42,68,A1
0.55,1.9,46,54,55,A2
2.77,0.64,50,43,63,B3
0.55,0.64,46,41,62,A1
1.66,3.17,43,54,42,B2
2.77,1.9,45,57,56,B4
0.55,0.64,47,44,67,A1
3.88,1.9,48,50,51,C3
0.55,0.64,49,48,61,A1
2.77,0.64,43,45,53,B3
3.88,1.9,55,49,51,C3
0.55,1.9,40,54,55,A2
3.88,3.17,47,61,50,C4
3.88,3.17,57,42,51,C4
0.55,0.64,55,42,64,A1
2.77,0.64,53,43,65,B3
0.55,0.64,57,45,64,A1
2.77,1.9,49,57,56,B4
2.77,1.9,49,58,54,B4
0.55,0.64,57,42,67,A1
0.55,1.9,46,53,47,A2
3.88,1.9,49,44,52,C3
2.77,0.64,49,46,62,B3
2.77,1.9,49,51,56,B4
3.88,3.17,56,56,51,C4
2.77,0.64,49,46,63,B3
2.77,0.64,48,48,64,B3
3.88,1.9,45,50,50,C3
0.55,0.64,56,42,64,A1
1.66,3.17,36,45,45,B2
1.66,0.64,41,64,47,A4
0.55,1.9,53,54,65,A2
3.88,1.9,51,47,50,C3
2.77,0.64,49,41,60,B3
3.88,3.17,55,58,51,C4
3.88,1.9,43,46,50,C3
2.77,0.64,53,44,62,B3
3.88,3.17,56,55,40,C4
2.77,3.17,40,48,65,C1
0.55,1.9,49,57,56,A2
2.77,0.64,51,44,64,B3
0.55,0.64,49,44,64,A1
1.66,3.17,42,64,45,B2
1.66,3.17,39,64,47,B2
1.66,1.9,41,63,65,B1
2.77,3.17,52,51,64,C1
2.77,1.9,43,51,53,B4
2.77,3.17,40,51,64,C1
2.77,0.64,45,44,63,B3
1.66,3.17,43,53,38,B2
3.88,3.17,55,50,52,C4
2.77,1.9,48,60,56,B4
2.77,0.64,54,43,64,B3
2.77,1.9,42,57,56,B4
3.88,3.17,54,57,51,C4
3.88,1.9,44,45,50,C3
1.66,3.17,40,59,34,B2
0.55,0.64,50,45,62,A1
0.55,0.64,54,43,61,A1
0.55,0.64,55,43,62,A1
0.55,3.17,36,55,61,A3
1.66,3.17,41,55,42,B2
2.77,0.64,53,46,62,B3
0.55,1.9,48,55,54,A2
1.66,1.9,42,52,51,B1
0.55,0.64,46,44,64,A1
2.77,1.9,44,42,52,B4
2.77,1.9,47,51,53,B4
2.77,0.64,50,44,61,B3
3.88,1.9,55,46,51,C3
1.66,0.64,51,45,53,A4
2.77,1.9,49,41,64,B4
0.55,0.64,49,45,65,A1
0.55,1.9,47,56,52,A2
0.55,1.9,42,53,55,A2
3.88,0.64,45,45,63,C2
2.77,3.17,47,49,56,C1
0.55,0.64,45,55,66,A1
3.88,3.17,57,61,50,C4
3.88,1.9,54,58,51,C3
0.55,1.9,40,50,55,A2
2.77,3.17,47,51,64,C1
1.66,3.17,44,59,47,B2
3.88,3.17,57,54,52,C4
1.66,3.17,42,62,38,B2
0.55,1.9,47,55,67,A2
0.55,1.9,51,55,55,A2
0.55,1.9,44,55,62,A2
1.66,3.17,39,54,39,B2
1.66,3.17,40,58,44,B2
0.55,1.9,43,56,62,A2
2.77,3.17,41,54,64,C1
0.55,1.9,53,53,55,A2
3.88,3.17,53,61,52,C4
3.88,1.9,48,55,50,C3
2.77,1.9,44,50,52,B4
3.88,3.17,53,54,51,C4
2.77,1.9,48,50,64,B4
2.77,1.9,39,50,62,B4
0.55,1.9,45,57,54,A2
2.77,1.9,51,51,55,B4
2.77,1.9,48,51,56,B4
0.55,0.64,48,53,62,A1
2.77,0.64,56,43,63,B3
2.77,0.64,52,46,58,B3
3.88,1.9,45,46,49,C3
0.55,1.9,51,52,55,A2
0.55,1.9,55,44,62,A2
2.77,3.17,47,51,56,C1
2.77,3.17,51,51,58,C1
2.77,0.64,49,44,60,B3
0.55,1.9,43,58,42,A2
0.55,0.64,52,42,63,A1
2.77,3.17,41,48,65,C1
3.88,3.17,42,48,51,C4
0.55,0.64,54,43,64,A1
0.55,1.9,41,55,38,A2
3.88,1.9,48,49,52,C3
3.88,3.17,58,66,51,C4
0.55,0.64,55,41,63,A1
3.88,3.17,56,58,51,C4
3.88,1.9,42,55,51,C3
0.55,0.64,44,45,57,A1
3.88,3.17,53,56,52,C4
0.55,1.9,51,53,47,A2
0.55,0.64,45,41,64,A1
3.88,3.17,58,52,52,C4
